Tidsstempel,Titel på dit arrangement,Arrangør,Lokation,Venue,Start Tidspunkt,Slut Tidspunkt,Tidpunkter og Titel på Happenings,"Er der fri entré til dit event, eller skal deltagerne betale et beløb i døren?",Hvis der er Billetsalg,Billede eller PR,Målgruppe,Stemning,Tilgængelighed,Alkohol?,Kort beskrivelse af arrangementet,Evt. link til code of conduct,Sponsorer,Dato_dt,Latitude,Longitude,Latitude_List,Longitude_List
25/03/2026 14.58.25,Drag On A Thursday: Pride ,House of Darlings ,"Nordre Ringgade 3, 8000 Aarhus C",Studenterhus Aarhus,28/05/2026 19.30.00,28/05/2026 22.00.00,"Døre åbner 18.30
Showstart 19.30
Pause ca. 20.30","50,- for medlemmer af Studenterhuset, 75,- for andre",https://billetto.dk/en/e/drag-on-a-thursday-pride-billetter-1883641,drag_on_a_thursday,"Showet er for alle queers og allies, der er 16+ og elsker pride, fest og farver.","Festligt, queer, inkluderende, powerfyldt dragshow, der fejrer pride med glimmer og glamour",Tilgængeligt for kørestolsbrugere. Showet indeholder en del lys og høj lyd samt indimellem interaktioner med publikum så man er velkommen til selv at medbringe værnemidler mod dette og/eller sætte sig på de bagerste rækker. ,Ja - Arrangør sælger alkohol,"Drag on a Thursday inviterer til PRIDE-SPECIAL på Studenterhus Aarhus den 28. maj, og vi går ALL IN!! Det her bliver en aften med JOY, LOVE og unapologetic POWER🏳️‍🌈
Vi fejrer Pride med store følelser, endnu større hår og performances, der rammer direkte i hjertet!! Dayah Rea, Candika Du Jour, Sisi Diva Cruz og Lily Peace står klar til at servere lip syncs, attitude, humor og ren scenemagi 💖🔥 
Du kan forvente drama, fællesskab og de der øjeblikke, hvor hele rummet løfter sig, og man bare ved, at man er præcis dér, hvor man skal være!
Det her er en kærlighedserklæring til queer liv, mod og fællesskab 🌈 Pride er fest, men det er også demonstration, styrke, historie og sammenhold, og vi fejrer det hele i fuld glam!
Tag din ven, din date, din crush eller kom solo og find din chosen family på forreste række! Kom som du er, og gå hjem lidt mere fabulous!! 💖🔥","I Studenterhus Aarhus er vi mang­foldige, tværfaglige og bro­byggende. Vi styrker fælles­skabet og støtter studerendes handlekraft gennem innova­ti­ve og inspirerende aktiviteter. Vi er et studenterhus, kulturhus, forening, spillested, bar, café og meget mere. Vi er det, du gør os til. Som kulturhus og møde­sted for både studerende og er­hvervslivet, arbejder vi for et inkluderende miljø, hvor alle føler sig velkomne. Vi er unge, inno­vative og upolerede, og vi møder alle i øjenhøjde – uanset hvem de er, og hvor de kommer fra.",,2026-05-28 22:00:00,56.171216,10.200344,,
31/03/2026 22.17.31,Rainbow Run,Aarhus Regnbue Idræt ,Bispetorvet,,27/05/2026 17.00.00,27/05/2026 18.00.00,Kl. 17.00 - 5 km løb gennem byen,Fri entre,https://www.holdsport.dk/public_ticket_events/aarhus-rainbow-run-2026,regnbue_run,Alle,Afslappet sport,"Arrangementet er for alle, der kan og vil løbe 5 km sammen på en pace 6 min/km.",Nej,"Run for Inclusion! 🌈🏃‍♂️   I anledning af Aarhus Pride inviterer Aarhus Regnbue Idræt - Frontrunners på et 5 km løb eller gåtur gennem Aarhus by.  Tag løbeskoene på, dit dejlige smil, farver og løb Aarhus Pride 2026 i gang!   Vi løber eller går forbi nogle af byens LGBTQ+-steder, så du kan se, hvor du kan møde andre LGBTQ-personer i fremtiden.  Alle kan være med, så tag kollegaer, venner og naboer med til et løb for diversitet og inklusion.   Løbet er et uformelt motionsløb gennem byen, hvor der ikke vil være spærret af på ruten. I skal derfor løbe efter gældende færdselsregler.   Tilmelding påkrævet, men gratis.   Vi starter og slutter ved LGBT+-HUSET på Skolebakken 5, 8000 Aarhus.   Mere info om rute følger.   Efter løbet er der vand og ét styk frugt til deltagerne, sponsoreret af Rema1000 Vesterbro Torv.",,,2026-05-27 18:00:00,55.6791199,12.571726,,
15/04/2026 12.10.31,Morgensang - i Vor Frue Kirke,Vor Frue Kirke,Frue Kirkeplads 3,Vor Frue Kirke,30/05/2026 10.00.00,30/05/2026 11.00.00,10.00 Udendørs fællessang foran Vor Frue Kirke,Fri entré,,kirke,Alle,"Roligt og hyggeligt, fællesskabsorienteret",Udendørs på græsplæne,"Ja - Arrangør sælger ikke alkohol, så medbring evt. selv","Kom og syng ""dagen fuld af sang"" med Frue Kirkes Kantori",,,2026-05-30 11:00:00,56.158065,10.204796,,
21/04/2026 14.09.11,Åbent hus under Priden,SMilAarhus,"Vestergade 49c, 8000 Aarhus C",SMilAarhus,30/05/2026 15.00.00,30/05/2026 18.00.00,"15:00 dørene åbnes
18:00 dørene lukkes",Gratis entré,,SMilAarhus,18+,Afslappet men stemningsfulde omgivelser.,Der er ikke kørestolsadgang. Arrangementet er inkluderende for personer med neurodivergens.,Nej,"SMil Aarhus holder åbent under priden.
Er du nysgerrig?
Vil du vise foreningen frem for dine venner?
Se lokalerne, stil spørgsmål til erfarne medlemmer og hør mere om foreningen og BDSM﻿.
Kun for 18+ personer.",,,2026-05-30 18:00:00,56.157049,10.200724,,
01/05/2026 14.32.10,Festlig gudstjeneste for mangfoldigheden ,Et udpluk af kirker i Aarhus ,"Hedemannsgade 1, 8000 Aarhus C",Immanuelskirken,30/05/2026 10.30.00,30/05/2026 11.30.00,kl. 10.30-11.30 - Festlig gudstjeneste,Fri entré,,kirke_pride,"Alle er velkomne uanset hvem du er, hvem du elsker, og hvor du står i forhold til tro",Afslappet og festligt,Tilgængeligt og inkluderende for alle,Nej,"Kom og vær med til en farverig og hjertevarm gudstjeneste i anledning af Pride! Vi inviterer til en stund fyldt med levende musik, pimpet pynt, nærvær og kærlige ord – alt sammen i fejring af mangfoldigheden. Alle er velkomne, uanset hvem du er, hvem du elsker, og hvor du står i forhold til tro. Så kom og fejr mangfoldigheden i et fælleskab, hvor vi deler håb, glæde og kærligheden. Uanset om du kommer for musikken, stemningen eller fællesskabet, er du hjerteligt velkommen.",,,2026-05-30 11:30:00,56.146289,10.191655,,
01/05/2026 15.42.15,Strik & lyt: Giv et regnbuekram til byen,Møllevang Kirke,"Møllevangs Alle 47, 8210 Aarhus V","Møllevang Kirke, Sognegården",07/05/2026 18.00.00,07/05/2026 21.00.00,Undervejs vil der være tapas og højtlæsning af skønlitteratur ved præst Lars Buch Viftrup.,Gratis entre - men kræver tilmelding,https://tilmelding.dinkirke.dk/?skjemaId=bcda8f8b-2272-467f-a803-e50e01c3b7a4&fbclid=IwY2xjawRMX5xleHRuA2FlbQIxMABicmlkETE2U2VtdmMxZnZoQWpkODI4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHlK_tt5xra_HPI3kO4EarAW7uNYS49w-NRJEjYIZA7XLMgHq1dGQoIRn4DSu_aem_Qz5dapUk0vZF9ieaYtNFew,kirke_strik,Alle der kan lide at strikke eller hækle,Afslappet og hyggeligt,Tilgængeligt for alle,Nej,"Tag en strikkeglad ven under armen og kom med til en hyggelig aften med fællesstrik, tapas og højtlæsning - og hjælp os med at give et regnbuekram til byen.

Møllevang Kirke deltager sammen med en række andre kirker i Aarhus Pride, som en tydelig markering: Vi er en åben kirke med plads til alle. Uanset hvem du er, og hvem du elsker.
For at synliggøre vores deltagelse vil vi give vores træ uden for kirken en regnbue-trøje på. Et blødt, farverigt kram til alle, der går forbi. Og vi har brug for hjælp fra dig, der kan strikke eller hækle.
Vi inviterer derfor til strikkecafé, hvor vi sammen laver små lapper i regnbuens farver, som til sidst vil blive sat sammen. Hver lap er et bidrag. Et tegn. En del af noget større. Sammen strikker vi et fællesskab, man kan mærke.

Undervejs vil der være tapas og højtlæsning ved Hanne Jul Jakobsen.

Kom som du er – og tag gerne en strikkeglad ven under armen. Medbring meget gerne strikkepinde (str. 4)  eller hæklenåle (str. 5) med. Vi sørger for garn!

OBS! Det er gratis at deltage - men kræver tilmelding, så der er tapas til alle.
https://tilmelding.dinkirke.dk/?skjemaId=bcda8f8b-2272-467f-a803-e50e01c3b7a4&fbclid=IwY2xjawRMX5xleHRuA2FlbQIxMABicmlkETE2U2VtdmMxZnZoQWpkODI4c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHlK_tt5xra_HPI3kO4EarAW7uNYS49w-NRJEjYIZA7XLMgHq1dGQoIRn4DSu_aem_Qz5dapUk0vZF9ieaYtNFew
",,,2026-05-07 21:00:00,56.165457,10.182773,,
01/05/2026 15.47.41,Tryk & Tapas - Rainbow edition,Møllevang Kirke,"Møllevangs Alle 47, 8210 Aarhus V","Møllevang Kirke, Sognegården",21/05/2026 17.30.00,21/05/2026 21.00.00,Vi starter med tapas og herefter åbner linoleumstryk-værkstedet,Koster 60 kr,https://pladsikirken.ticketbutler.io/da/e/tryk-tapas/,kirke_linoleum,18-35 årige,Hyggeligt og afslappet,Tilgængeligt for alle,Ja - Arrangør sælger alkohol,"Kom med, når vi inviterer til aftensmad og hyggeligt kreaværksted i Sognegården i Møllevang Kirke. Her kan du nyde lækker tapas og lave flotte, personlige linoleumstryk, alt sammen i hyggeligt selskab med andre unge. Aarhus Pride er lige om hjørnet, og denne aften er der mulighed for at hylde mangfoldigheden og alle former for kærlighed, når vi trykker i alle regnbuens farver

Vi sørger for mad og materialer – alt du skal medbringe, er godt humør og en god idé.

Arrangementet er for unge i aldersgruppen 18-35 år.

Tid: 21. maj 17.30-21.00
Sted: Møllevangs Allé 49
Pris: 60 kr. (mad og materialer)

Senest tilmelding: 13. maj
OBS! Der er kun et begrænset antal pladser

Skal du være frivillig?
Vi skal bruge 4-5 frivillige til at hjælpe fra kl. 16.30. Som frivillig, er det gratis at deltage i arrangementet. Kontakt Gertrud på 21685135 /gertrud@moellevangkirke.dk, hvis det er noget for dig.",,,2026-05-21 21:00:00,56.165457,10.182773,,
14/05/2026 16.19.15,DRAG PARTY,Aarhus Pride,"Thomas Jensens Allé 2, 8000, Aarhus C",Musikhusparkscenen,29/05/2026 19.30.00,29/05/2026 22.00.00,"kl. 19:30: Show Starter
ca kl. 22:00: Show Slutter",It's Free!,,drag_party,Alle 15+,Glamourous Party ,"Yes, the event is accessable for everyone",Ja - Arrangør sælger alkohol,"Get ready for Aarhus Pride's first ever drag party! A drag show where we celebrate drag under the open sky! We're transforming Musikhusparken into a massive glitter zone, the day before the Aarhus Pride parade day. ✨
Get ready for an evening filled with lip syncs, high heels and glamour, as some of Denmark's drag artists take the stage for Jutland's GREATEST drag show! 🥳
Expect glitter, stilettos, reveals, attitude and energy of the highest caliber, all in the heart of Aarhus. 💃🕺✨
Tonight host will be 👑 FAUX MOE that will keep you entertained during the whole party and present our beautiful CAST:
❤️ Sisi Diva Cruz: https://www.instagram.com/sisidivacruz/
❤️ Philipina: https://www.instagram.com/philipinaworld/
❤️ Quezta Thee Chaos: https://www.instagram.com/queztatheechaos/
❤️ Victoria Agina: https://www.instagram.com/victoria.agina
❤️ Taylor Diamandis: https://www.instagram.com/taylor_diamandis/
❤️ (Host) Faux Moe: https://www.instagram.com/faux.moe/
❤️ Aurora Adore North: https://www.instagram.com/auroranorthofficial/
❤️ Candika Du Jour: https://www.instagram.com/misscandi.gram/
❤️ Miss Harry Koochie: https://www.instagram.com/missharrykoochie/
❤️ Lily Peace: https://www.instagram.com/lilypeace/
📍 PRACTICAL INFO
📌 Location: Musikhusparken, Aarhus
📅 Date: May 29th
🕖 Time: Show starts at 7:30 PM
🎫 Tickets: It's free, honey!
The show will be in English
The event is completely free. Since it's free, we hope you'll support Aarhus Drag Party by buying your drinks at the bar. 🍹🧃
The more you drink, the greater the chance we can make Aarhus Drag Party a permanent, annual tradition! 🙏
So bring your girlfriends, your partner, your colleagues and your favorite queer aunt, find your most fabulous outfit and come celebrate drag, community and freedom in all the colors of the rainbow! 🌈✨
A huge thank you to @musikhuset for letting us use the stage for this amazing event. ❤️
We can't wait to fill Musikhusparken with love, laughter and loads of DRAG! 🤩💃🕺✨
See you there! 🔥",,Aarhus Kommune + Supporters of Aarhus Pride,2026-05-29 22:00:00,56.152699,10.199353,,
14/05/2026 16.35.28,Aarhus Pride,Aarhus Pride,"Frederiks Allé 16, 8000, Aarhus C",Rådhusparken,30/05/2026 12.00.00,30/05/2026 18.00.00,"kl. 12:00: Åbningstaler
kl. 12:45: Paradeafgang
kl. 14:00: Koncerter, Drag DJ og Show
kl. 18:00: Slut",Free Access,,aarhus_pride,Everyone,What you wanna do,Accessible for all,Ja - Arrangør sælger alkohol,"Here is a translation of the event announcement into English, keeping the upbeat and inclusive tone of the original:
Aarhus Pride 2026

On May 30th, we celebrate love and diversity in the ""City of Smiles"" with this year's Aarhus Pride!
The Program
- 12:00 PM: We gather in Rådhusparken (The City Hall Park). There will be speeches and assembly for the parade until departure.
- 12:45 PM: Parade departure from Rådhusparken.
- 1:45 PM: Arrival back at Rådhusparken – the parade concludes.

Note: The parade route will be posted in the event discussion as soon as possible!

After the Parade

Once the parade is over, we encourage you to head out into the city and explore the many communities within the LGBTQ+ scene. This year, Aarhus Pride is collaborating with local associations and venues targeted toward LGBTQ+ individuals and our allies.

You will have plenty of opportunities to catch drag performances, enjoy live music, or grab a drink or a cup of coffee. We are currently putting together an overview of all the different events; more information will be available soon on Aarhus Pride’s Instagram.

Of course, you are also welcome to stay in Rådhusparken after the parade. There will be food stalls and drinks available until 6:00 PM, at which point the park cleanup begins.
Contact & Info

Questions? Reach out to us at info@aarhuspride.dk or message us on Instagram @aarhus.pride

We can’t wait to see you at Aarhus Pride 2026!",https://www.aarhuspride.dk/vaerdier/,Aarhus Kommune and more,2026-05-30 18:00:00,56.152114,10.200912,,
14/05/2026 16.36.35,Støttefest for Aarhus Pride,"Rød-Grøn Ungdom, Socialistisk Ungdomsfront, Enhedslisten, Radikale Venstre, Radikal Ungdom, SF, SF Ungdom, Mellemfolkeligt Samvirke, Sabaah, Aarhus Pride","Tage-Hansens Gade, 8000 Aarhus",Ungdomskulturhuset UKH,22/05/2026 19.30.00,23/05/2026 00.00.00,"19.30 Dørene åbner
20.00 Velkomsttale 
20.30 Eddie Paldam
21.00 Pause
21.15 Taler
21.45 Dragbingo - Aurora og Quezta
22.45 Chæk
00.00 Tak for i dag",Der er donationsbaseret entré,,stoettefest,Alle,Fest,"Der vil være høj musik, taler mv foregår på dansk, der er kørestolsadgang",Ja - Arrangør sælger alkohol,"Vær med til at samle ind til årets største pride parade i Aarhus med den her Støttefest!
Aarhus Pride står i øjeblikket i en økonomisk presset situation pga et småt beløb fra kommunen og begrænsede sponsorater fra organisationer og fonde der ikke bryder med menneskerettighederne. Derfor går vi sammen om at sikre et brag af en fest, både nu og til Aarhus Pride d. 30 maj!

Det vil være muligt at give et valgfrit beløb som entré, derudover gentager vi succesen med drag bingo, live band, taler og salg af merchandise!",,"SUF Stjernepladsen, SUF Aarhus, Rød-Grøn Ungdom Aarhus, SF Aarhus, Radikale Venstre Aarhus",2026-05-23 00:00:00,56.158779,10.1844609,,
